account_id,application_id,activation_date
dc36e424-4e58-4c15-8395-c704c8f4de69,4a19bd43-fb86-4ad9-82d6-07ed27720989,2025-08-29
efb16296-0a37-4687-bbb6-2240d998b38e,97bf3634-bc4d-43c3-8424-6c4e0d79f403,2025-08-28
c53cc6a6-356c-4cb9-be79-31960b84c1fd,7c086986-b243-4d9f-ba27-65ae237e5a5d,2025-08-27
85fdc921-9129-41aa-b8fe-0a2afb204c54,0133a047-fca8-4ec6-9f94-58dad827829f,2025-08-26
1a392e9d-1ece-46d3-930c-efd8dd625f7a,4b9bc0a3-f5b3-4a61-958b-a22149bb570c,2025-08-29
983a13b9-be03-42bd-bb87-13e9049d81d8,ea94c079-9ba7-4728-b29d-a470b0efbe9b,2025-08-29
98987e18-ada2-4a8f-8856-a68d3f3da0cc,afaaa9a5-8ce6-45f6-8826-d7071620c558,2025-08-29
fc35417b-a214-427f-b9da-9ccbd480af9d,31ce5695-d42f-44e1-ae0b-5e76491b64a4,2025-08-26
20841c11-0a09-42e6-8892-aa4e653befb1,bae3af0a-a93a-48bd-b2e4-0ae99ee64b83,2025-08-29
cf279ffd-b291-4320-8860-844060465e59,69861014-d115-43ac-90e3-d118156f5483,2025-08-27
0f191a2a-5273-427f-96b3-f49844df9142,d7045d6b-8a55-4856-b280-fe3be488cd8e,2025-08-26
cdf4462b-abc1-4d54-82df-f1be38ebb2f8,0681a4f6-9e83-48b3-969b-67cdd894f16a,2025-08-28
9d07b154-4f2f-40e8-8db4-a33d20ceee02,81dc327e-7c8e-4ed7-a9a3-d7c8924a8c0a,2025-08-27
e9aac26c-5882-4fc2-b270-acb02d4b441c,73b815d5-0749-43b7-8b6f-795b74ff2395,2025-08-27
ebf5050c-12d1-441e-adfe-608ba2698128,e686446c-2e14-420e-a39d-c08d3d022a68,2025-08-27
49797237-8f2d-4da3-bb83-011b4d75991a,dfc3516c-2a7a-42b0-901b-8906128adcc1,2025-08-29
2818be7f-ff77-4a7c-a532-dd1fb416402f,157dd92d-0f16-456e-a384-64d951e46d35,2025-08-29
d6dee9da-a890-40fd-aeae-d715ae4a9d4a,14588d0c-2d9c-4579-92ab-fdb48a6ab3b2,2025-08-28
c97ad9f2-4a6a-498b-8b6b-23b066c56367,0ae14059-d047-4401-aed6-04d5e1a49512,2025-08-26
5fea32df-13bf-4608-ac49-5fc5408e85ae,cb73b031-9cd4-4a1f-b622-1dc3dd83ce9c,2025-08-28
e4f2f597-7125-4f0c-8940-64b24f4110a0,0c4d35fc-f2e3-4ec5-a0c6-6f421c1f7442,2025-08-28
47967dcf-5516-4180-8fb9-999a3f977c2c,d924147d-d18e-490a-9fca-d1aeb0c6c75c,2025-08-28
d61abefd-1b65-4b3c-ae99-5808e48a6c44,53860755-e5b6-40e4-a11c-4d0d9dccb5d5,2025-08-28
24e105f9-8a4d-4a90-bab6-30995574c886,5e7de543-505e-4c0b-90c7-7a5cad94ba82,2025-08-27
5bd24669-ace0-4797-aa41-969a3f7f5e2c,bfdafa8a-0d71-46cb-9c58-5a33f3c4f948,2025-08-29
6b5e2cc8-966d-4044-b6ae-bae4f5f7b226,15438a8e-ad5c-4627-97c5-91349aebed4c,2025-08-26
acd58b3d-5e14-4556-b6f2-25c978416ecd,f75948c3-5c11-4b5a-9c04-e032d9e3a74d,2025-08-26
