payment_id,account_id,payment_date,amount
b5e2c831-79f1-4d74-8c6e-1b28c89de2d9,61a032b9-6123-4701-8adb-443604216048,2025-08-22,27.55
2fdb7bf9-fa6b-4ab7-bf3d-72acc117f7d5,dfb32359-0e35-432a-a7db-9e9cab69bba2,2025-08-10,39.03
5f34af0f-1d11-4a8a-9819-c2e4f3e7166e,dfb32359-0e35-432a-a7db-9e9cab69bba2,2025-07-30,154.16
a61e24b5-2cb9-4788-aba5-344d454d1b80,dfb32359-0e35-432a-a7db-9e9cab69bba2,2025-08-15,66.02
4cb64c8a-6ebd-4d21-86b0-a19f6f83eb26,f16729c2-1b83-411b-b53a-02bd26ac663f,2025-08-10,90.47
a6b3fd47-efed-428b-ba27-8e4d14fd0e81,f16729c2-1b83-411b-b53a-02bd26ac663f,2025-08-09,114.0
ce88819d-dd16-4c8c-830d-257d32a8f7bb,45ebd7f9-ec0d-431c-8213-317e03f34629,2025-08-11,115.03
59be099f-7f9b-4c32-83af-de4999b86f0b,45ebd7f9-ec0d-431c-8213-317e03f34629,2025-07-31,60.45
5c3e5fa0-06f6-4365-881d-c325eb3e68c5,2aadde45-7537-4aa0-bcf1-7b00c5d109ae,2025-07-29,35.22
ff84bad5-3440-44a1-8efa-4360f4d75999,2aadde45-7537-4aa0-bcf1-7b00c5d109ae,2025-08-08,108.72
9924e07a-732e-410a-bf7e-833fda306f12,fd2c110b-87c8-47e4-a51a-52b1da8c5bab,2025-08-08,147.02
55b23d7b-56da-415c-971c-c00b25b19c1d,fd2c110b-87c8-47e4-a51a-52b1da8c5bab,2025-08-01,4.16
1863ddc3-f1c9-4140-b9d8-b8c5dd7b82ae,0f396ac5-4a8c-453e-91aa-bd09a970cf2f,2025-08-14,86.81
bb71c1cd-d92f-4f06-930b-0a5745b62e4b,7f0465b5-d36b-4a24-a5b4-6b44ab829cec,2025-07-29,121.32
a288cbbb-c912-4273-befd-9e8653918ed6,7f0465b5-d36b-4a24-a5b4-6b44ab829cec,2025-08-24,72.2
02f875c8-54bb-479e-81f8-f13de51cbf51,6d09ca93-e6a0-4db5-ba1b-40e045b82848,2025-08-15,72.32
4a485971-b6cc-45a1-aaae-24b84174378e,3a6e219d-6c53-42c1-a07b-876251fd147e,2025-07-30,135.62
12862556-8fe3-4ff5-b595-e86891c2d9bf,4c9e85e8-f500-4e34-b747-0fbf1f2dc997,2025-08-21,88.23
b30ed470-dc07-41be-9940-a51e86ef9fd1,4c9e85e8-f500-4e34-b747-0fbf1f2dc997,2025-08-13,64.86
ba4a3428-bcce-46e1-a49c-74bf07607fd2,999436f9-ae56-424c-bd44-9e90eaa5c911,2025-07-27,69.03
6f4c7468-3e60-4f47-966f-b7aacb243100,999436f9-ae56-424c-bd44-9e90eaa5c911,2025-08-15,40.03
5722d432-290e-440b-90fe-4bdf1d2abde4,999436f9-ae56-424c-bd44-9e90eaa5c911,2025-08-19,67.24
4c887183-1ac8-4e4a-b937-80619a81ad58,c953238a-6140-4469-8142-6af932e6fa78,2025-08-25,79.27
592676e1-d9e0-43dc-8db3-ca0c8d2707c7,c953238a-6140-4469-8142-6af932e6fa78,2025-08-17,44.88
103df743-da60-4f0f-a9c4-9eacb8cde6c5,bb7d14c4-5233-4363-b449-9e2002720515,2025-08-19,46.92
e38ee3bd-60f7-457d-87c6-00614f65c1a5,bb7d14c4-5233-4363-b449-9e2002720515,2025-08-05,116.54
dda0e0a4-a9ad-43b9-801d-52c83215e3be,fcf09b58-6f47-4cf2-9861-b6146181ad66,2025-08-20,47.87
d6dce164-eb90-4828-9378-d815f06bfe23,fcf09b58-6f47-4cf2-9861-b6146181ad66,2025-08-08,51.29
3a127323-5f28-4b14-88e1-0c96a762fa5c,88650301-31fb-49da-b214-9d96a42e591b,2025-08-15,60.63
ed5a82e8-a672-442c-99bf-8fa26649e492,88650301-31fb-49da-b214-9d96a42e591b,2025-08-13,16.97
e1243215-fb3f-4441-9749-4b18bd7a6fa6,88650301-31fb-49da-b214-9d96a42e591b,2025-08-02,115.36
de4517d2-b653-4f28-ad9a-100253924d6b,5336caa4-c821-413a-8707-8854dc71913b,2025-08-26,111.48
2f4ef53c-3e92-44b2-9166-c9502f462e60,5336caa4-c821-413a-8707-8854dc71913b,2025-08-06,44.35
94fbd9ca-2b2b-4a5d-bbee-b12d272b0afb,34dd3308-4553-4c81-a04e-b92528104d41,2025-08-11,17.5
7899377b-9ba3-4fe0-80f8-fbb9b8e788d6,34dd3308-4553-4c81-a04e-b92528104d41,2025-08-20,58.84
cb9acd35-9b9f-4b93-b289-c50d8e3ce258,34dd3308-4553-4c81-a04e-b92528104d41,2025-07-31,35.58
1d9d5b3d-f5b0-4ac8-8190-275d7b790892,8edd8163-4403-42ae-8c05-51f7ade45f8c,2025-08-14,102.68
a3c5fbd1-8e94-4288-bf02-634f0afaf499,617fd0f9-9a3c-48a5-8a11-7f8bc4e3ce3d,2025-08-20,55.71
