transaction_id,account_id,transaction_date,amount
273f6a0a-a59c-45f1-b9fb-c0ab0b5d4409,61a032b9-6123-4701-8adb-443604216048,2025-07-28,113.41
1c3d7c77-870d-420d-8db1-513b32151685,61a032b9-6123-4701-8adb-443604216048,2025-08-20,64.32
a9b74dec-aa4d-45b0-80cd-fd6b2872a0c4,61a032b9-6123-4701-8adb-443604216048,2025-08-20,152.35
13f06f36-051e-4472-84c0-20b798af1339,61a032b9-6123-4701-8adb-443604216048,2025-07-31,85.24
543a5d4a-05f7-4ab0-825b-93aa43c4c412,dfb32359-0e35-432a-a7db-9e9cab69bba2,2025-07-27,76.61
f9e2d896-e4db-45cf-af13-9f4a76bc8faf,dfb32359-0e35-432a-a7db-9e9cab69bba2,2025-08-08,117.33
89679220-44c9-4f82-afd5-5ee737d52620,dfb32359-0e35-432a-a7db-9e9cab69bba2,2025-08-18,22.21
f864dc1d-90c5-491c-b96d-042393ef8bae,f16729c2-1b83-411b-b53a-02bd26ac663f,2025-08-17,86.38
f95145c1-4da0-4069-b5fe-3b2a9ae19c1e,f16729c2-1b83-411b-b53a-02bd26ac663f,2025-08-09,70.43
fe6a6c88-1efa-4bff-ae2e-fa4d5dbd9660,f16729c2-1b83-411b-b53a-02bd26ac663f,2025-08-07,2.39
99786c5f-e25b-474c-accc-9ceb64918783,45ebd7f9-ec0d-431c-8213-317e03f34629,2025-08-04,22.17
b6bd8347-dc8b-4b48-92eb-3283a4449965,45ebd7f9-ec0d-431c-8213-317e03f34629,2025-08-06,78.59
527e93b5-1675-45f3-8fe4-ffc4f91bcbdf,2aadde45-7537-4aa0-bcf1-7b00c5d109ae,2025-07-27,62.9
9a2fddd4-0c96-444c-af11-a87f755c2fd9,2aadde45-7537-4aa0-bcf1-7b00c5d109ae,2025-08-23,34.77
88e0d748-2ebf-4462-9ad4-ea665629fedc,2aadde45-7537-4aa0-bcf1-7b00c5d109ae,2025-08-20,18.16
a82242f0-087c-40f4-82ab-bd6da5980647,2aadde45-7537-4aa0-bcf1-7b00c5d109ae,2025-08-07,160.28
e33ea021-7cd8-41aa-9e98-502e825f1ca0,fd2c110b-87c8-47e4-a51a-52b1da8c5bab,2025-08-12,119.1
2b155d7b-86e7-4e61-9a29-db99a7184e39,0f396ac5-4a8c-453e-91aa-bd09a970cf2f,2025-08-10,121.5
3501efeb-43cc-4cef-9766-55967f3bafa1,0f396ac5-4a8c-453e-91aa-bd09a970cf2f,2025-08-10,179.2
59d536e5-ba0f-45fa-a28a-3120e0ceaf7a,0f396ac5-4a8c-453e-91aa-bd09a970cf2f,2025-08-15,215.39
75eb7a2e-1a85-4651-88fe-832c0a993906,0f396ac5-4a8c-453e-91aa-bd09a970cf2f,2025-08-13,38.13
217d453f-b66c-491f-afc3-0334154d9d11,7f0465b5-d36b-4a24-a5b4-6b44ab829cec,2025-08-16,131.46
8399b735-2a98-4e4a-9e39-ac6f49de7e27,6d09ca93-e6a0-4db5-ba1b-40e045b82848,2025-07-31,109.55
fa5a0ed9-b5ae-4cd8-90ac-efa7613a5df9,6d09ca93-e6a0-4db5-ba1b-40e045b82848,2025-08-07,55.27
f488b730-939d-4fa4-b17c-479afeed1834,6d09ca93-e6a0-4db5-ba1b-40e045b82848,2025-08-05,75.95
55ddcbaa-8b04-4fc1-9da3-9a7782338071,3a6e219d-6c53-42c1-a07b-876251fd147e,2025-08-06,22.76
