account_id,application_id,activation_date
61a032b9-6123-4701-8adb-443604216048,f9c8c063-6d4d-441f-9802-f6aebd50293b,2025-08-25
dfb32359-0e35-432a-a7db-9e9cab69bba2,b0472afd-7503-4314-a632-baec03496a73,2025-08-24
f16729c2-1b83-411b-b53a-02bd26ac663f,9e8b53bc-b5a1-42ef-bc4e-2265c347f15d,2025-08-24
45ebd7f9-ec0d-431c-8213-317e03f34629,4574fcb9-cc39-4254-82c6-844d11f98ae2,2025-08-26
2aadde45-7537-4aa0-bcf1-7b00c5d109ae,3e129369-3b8c-4713-8c2c-e3be6718bd17,2025-08-23
fd2c110b-87c8-47e4-a51a-52b1da8c5bab,eaa5f3f5-b92c-4705-8b40-25d053994070,2025-08-26
0f396ac5-4a8c-453e-91aa-bd09a970cf2f,ca84abd8-15c1-4ad5-9a14-f1032fbad23b,2025-08-26
7f0465b5-d36b-4a24-a5b4-6b44ab829cec,23ad7f63-3181-4a99-bd72-4817ca4bcd37,2025-08-25
6d09ca93-e6a0-4db5-ba1b-40e045b82848,457f53e0-3179-4523-96fb-534503dc9b8e,2025-08-26
3a6e219d-6c53-42c1-a07b-876251fd147e,fe2d3d7f-e9af-4792-84cd-67852b1984e6,2025-08-24
4c9e85e8-f500-4e34-b747-0fbf1f2dc997,b437c090-49a7-4cf6-9014-cad46498f7cd,2025-08-24
999436f9-ae56-424c-bd44-9e90eaa5c911,732bc68f-0fed-469f-bcd9-e2ad5033153f,2025-08-25
c953238a-6140-4469-8142-6af932e6fa78,f47d6853-0c00-4179-b45c-261a2e4f8396,2025-08-26
bb7d14c4-5233-4363-b449-9e2002720515,e89efe74-feb8-4ece-b196-74e12222b789,2025-08-25
fcf09b58-6f47-4cf2-9861-b6146181ad66,aabfc22d-5ab3-4f27-a603-e4d750f1acfb,2025-08-26
88650301-31fb-49da-b214-9d96a42e591b,3b9909fd-0bcb-446c-ac86-ffd051ac05b2,2025-08-25
5336caa4-c821-413a-8707-8854dc71913b,71024956-f2be-45d5-ba72-47a1ed758be8,2025-08-26
34dd3308-4553-4c81-a04e-b92528104d41,c6cb6e65-7584-4baa-8b96-72d1a48e8165,2025-08-24
8edd8163-4403-42ae-8c05-51f7ade45f8c,c6448f7b-bc50-4d4f-bfa2-8c34b1f83fc6,2025-08-24
617fd0f9-9a3c-48a5-8a11-7f8bc4e3ce3d,e7f2fe2b-6822-4ee3-92f0-0094b8730bd6,2025-08-23
71ebbc18-aadb-429d-b8db-b8aa33a5cba9,6b6f7619-f653-42a0-8938-2af4aed2fb3b,2025-08-23
