application_id,scorecard_version,decision,bureau_score,product,channel,segment
74689989-02a2-4da1-9bb1-12c3b237a7bc,existing,declined,406,gold,online,retail
f9c8c063-6d4d-441f-9802-f6aebd50293b,existing,approved,672,gold,branch,retail
77c808ed-7fd0-47ae-9faf-32b39a267ce7,pilot,declined,685,standard,online,retail
b0472afd-7503-4314-a632-baec03496a73,pilot,approved,774,gold,online,retail
9e8b53bc-b5a1-42ef-bc4e-2265c347f15d,existing,approved,543,gold,online,retail
4574fcb9-cc39-4254-82c6-844d11f98ae2,existing,approved,687,platinum,online,retail
3e129369-3b8c-4713-8c2c-e3be6718bd17,existing,approved,391,standard,online,retail
b1265f55-fbbb-4f59-ad2f-d0a6993eaa60,existing,declined,687,standard,online,retail
2ad4ae6b-694a-4e0f-a9be-a67f64fc8103,existing,declined,461,standard,branch,retail
eaa5f3f5-b92c-4705-8b40-25d053994070,existing,approved,551,standard,online,retail
323b7812-adf1-445c-bf34-9bda49e89c22,existing,declined,516,standard,online,retail
ca84abd8-15c1-4ad5-9a14-f1032fbad23b,pilot,approved,820,gold,online,retail
7734ed13-67b7-49b4-b574-bbe4be3d547c,pilot,declined,718,gold,online,retail
e7301b34-d249-4eec-a414-3e62de71e0df,existing,declined,332,standard,online,retail
23ad7f63-3181-4a99-bd72-4817ca4bcd37,pilot,approved,846,standard,online,retail
457f53e0-3179-4523-96fb-534503dc9b8e,pilot,approved,697,standard,online,retail
fe2d3d7f-e9af-4792-84cd-67852b1984e6,existing,approved,540,standard,online,student
b437c090-49a7-4cf6-9014-cad46498f7cd,existing,approved,470,standard,branch,retail
3e8dd46f-fd0f-4650-bf63-d6c51d7c4ee6,pilot,declined,327,standard,online,student
732bc68f-0fed-469f-bcd9-e2ad5033153f,existing,approved,772,standard,online,retail
96cc5b53-31d7-4213-940f-1228f83ceaf6,existing,declined,558,standard,online,retail
12824fd1-f9fd-41aa-b762-c94d029913e6,existing,approved,673,standard,online,retail
c710b9f3-d2f6-4b98-95c4-234f0c0b17d4,existing,approved,567,standard,online,retail
f47d6853-0c00-4179-b45c-261a2e4f8396,existing,approved,412,platinum,online,retail
e89efe74-feb8-4ece-b196-74e12222b789,existing,approved,429,gold,online,retail
aabfc22d-5ab3-4f27-a603-e4d750f1acfb,pilot,approved,483,standard,branch,retail
3b9909fd-0bcb-446c-ac86-ffd051ac05b2,pilot,approved,810,standard,branch,retail
c43ae03a-8eec-416c-ab7c-b3567e71e94e,existing,approved,702,gold,branch,retail
b19c8db9-f69b-4997-8986-5e106f046907,existing,declined,637,gold,online,retail
71024956-f2be-45d5-ba72-47a1ed758be8,existing,approved,597,standard,online,retail
c6cb6e65-7584-4baa-8b96-72d1a48e8165,pilot,approved,301,platinum,branch,retail
c6448f7b-bc50-4d4f-bfa2-8c34b1f83fc6,pilot,approved,532,standard,branch,student
6cd753c0-868d-4c46-a6d7-fe4ba2bf3725,pilot,declined,719,platinum,online,retail
e7f2fe2b-6822-4ee3-92f0-0094b8730bd6,existing,approved,637,standard,online,student
5a30c8e8-2332-4617-967b-1f27b7d7329b,existing,approved,697,standard,branch,retail
6b6f7619-f653-42a0-8938-2af4aed2fb3b,pilot,approved,332,gold,online,retail
dff201ad-8ce6-4d87-a37e-673ffa8358fe,existing,approved,529,standard,branch,retail
9f5149be-9ac4-462f-8a2e-2ccf29d253b9,pilot,approved,583,gold,branch,retail
09772f91-b8a0-47d3-bcac-64e5283785fe,existing,approved,491,gold,online,student
7c5cfcdc-8035-4ec4-89ef-e647a35dc640,pilot,declined,398,gold,branch,retail
5718f90b-b29f-43aa-acb6-3e31c6e6b722,pilot,approved,415,standard,online,student
a8848ec8-e617-4daa-b297-cac990dfe7b8,existing,approved,622,gold,online,retail
f19f7071-6e40-46fa-957c-210f22771761,pilot,approved,454,standard,online,retail
356120ba-d7b2-42eb-88fe-b054e4af1f7d,existing,declined,338,standard,branch,retail
a8b56f79-7eb9-4719-a935-66b7d8671303,pilot,declined,805,standard,online,retail
5d44fd69-7a9b-416b-90c0-1c3d029bd8e7,existing,approved,770,standard,online,retail
cfdb5b16-7582-49d1-aab0-79995b95fb37,pilot,approved,489,standard,online,retail
4e7002e1-3752-4760-8fc7-7e6ea92850d2,existing,declined,353,gold,online,retail
0924d3e6-185f-428b-b506-75866a814dfd,existing,declined,402,standard,online,retail
b88b8056-dc8b-4040-b561-d4457cf823d8,pilot,approved,568,platinum,branch,retail
d386c9bc-d5b6-4d8c-8f42-da04f29dc33a,existing,approved,357,standard,online,student
1902a4be-41df-43ce-b385-2a473fc21b65,pilot,approved,357,platinum,online,retail
8759e48a-4f82-4d24-b80d-a97365350a86,existing,approved,536,standard,branch,retail
50ef7425-0877-4aa8-8f1e-c9a0d78dde91,pilot,approved,546,standard,online,retail
f6337d58-c610-4f7c-b5de-65ec8deba921,existing,approved,519,standard,online,student
f27680c1-a456-40f5-8fed-ab51791f7858,pilot,approved,517,gold,branch,retail
2393004b-8351-415f-960d-adf10398bbba,existing,approved,821,platinum,branch,retail
2357fe90-cb8c-41c4-833e-c3a69c3ee658,existing,declined,624,gold,online,student
655decae-a2a5-4842-b86e-e90f3461622e,pilot,declined,459,platinum,online,retail
801001c7-35f5-4e13-b064-847da7190653,pilot,approved,726,platinum,online,student
