account_id,days_past_due,default_flag
8daf0220-837b-4dc7-94f0-7850954e9427,0,0
c3725321-1f38-44d4-af3a-a9c3d43125df,0,0
36dcb67c-db7c-42c9-ac5b-657e899b7052,0,0
9d762064-3047-4792-9b14-45b712a64470,0,0
24ac0a32-f161-4421-9234-0fa927502338,0,0
3cc851e6-9d32-4c8a-90e2-699ecc05292b,60,0
aee29643-e195-44c7-99f0-2210513fcdd7,0,0
95dfcd35-c386-40e4-8552-0a5bc851f77d,0,0
a7b29ab7-ff0b-4b14-aae8-fb854c1cb604,0,0
8deeff9c-98c2-4fc7-8731-800862517f79,0,1
3998061b-a48d-41ab-92d4-5ffc90f28a45,30,0
6f57367b-09ab-476c-9000-03f839c2ac31,0,0
33c2be9e-3c53-463b-b058-6537b4ac10da,0,0
0e61e977-8c5b-4e2e-8b40-3a543d3b10f0,0,0
b8993510-6666-43d9-91f2-54197edc2708,0,0
1d50920a-9c99-44fe-8305-f713968bc795,60,1
396ef0ae-2b40-49ae-9f0d-541b9fb5030a,0,0
f263c6f0-817f-48c1-8e77-7d5dbc7b9cc8,30,0
6bfcfdeb-668e-455f-9791-25634bba1cc0,0,0
d18ed73f-f707-4e09-9c30-65e3084cd140,0,0
a0cfb52e-e41f-4fe6-afaf-fcf1c3a1d0f3,30,1
833312ac-63e3-42b1-9f51-0cb5a0d95bd9,0,0
8afb1212-e792-4305-820e-16b9716afd74,60,0
7bd37a01-37d3-464c-9fe1-abd07d809bc7,30,0
0b01881b-e5c2-4b3a-b38c-5444e300e727,0,0
5f7de6eb-18b2-4b09-956e-1e4daae7cd3f,0,0
3a84bab5-6d5f-4878-8b0f-7d3a79399aa8,0,0
1918e9fd-ef0d-4e64-8791-c1189726845a,0,0
00326671-b01e-4ade-bdf9-88e390c76ffc,30,1
01fc7266-2d2f-4c20-a152-2a223dc05f5d,0,0
4c16c489-8ce5-4718-b3f3-bdc51768bdb9,0,0
5cc72b24-50a6-4871-a160-31e060fa9aab,60,0
f9fd986b-b12c-4196-83d4-132833f619d7,0,0
a0b79e9b-7f7e-4cba-aae7-cb4df99e70c9,0,0
00b0e5ee-29a7-41d8-a756-e2a4d889ccdd,30,0
093a1fca-8a09-4722-b353-2c4e7b90277c,30,0
934510dd-6f40-40f0-bc7e-47aa9f6d1fd6,0,0
3b54c127-5fe1-4398-83ba-cf4840241b2a,30,0
bc09dad0-466a-4d27-8ec1-8a811698c666,0,0
2753cdff-88de-4527-9469-13c5ccf0b5e7,0,0
69cf6582-182c-4702-82fb-040ba401bbfe,0,0
e7649de8-46b0-4fa2-bfdc-b7395a5b3391,0,0
d5b8f5ae-15a3-4b9f-a4c5-4bc45d938235,0,0
d80c41bf-a29b-4d76-b1d6-8c6e120dbaa6,60,0
c40ce342-3d08-480f-8aae-bacaf9fa870c,90,0
72d151f2-61ce-435f-a2f8-32312d735b76,0,0
7e91935e-8c97-4aee-845e-5447da98d2ea,0,0
c7ac1ad1-3695-4ade-aa84-848a445c0e24,0,0
d86afe69-4b2b-44b6-a48b-5f9d26669777,0,0
d14c024b-871a-47e1-a8c0-1669f317a842,0,0
6390b8cc-4dc7-4469-a4fd-3826c54a5d4b,0,0
e432625a-e002-4b06-b4d3-d87a67057bce,0,0
eab54372-2fab-446e-96cb-f738485f72ef,0,0
66bbb604-8d3c-4749-aafa-b00a1d404628,0,0
e2434c85-f2e8-4314-9f0d-9e4092aaa81f,0,0
c270067e-2c27-407b-bd4a-3d45ada63e5c,0,0
4edf07e1-74c5-4a3e-917a-4063ca31a98a,30,0
cf4766a4-6a46-4f5f-9a71-a760d767ce2d,60,0
87f2c911-f891-4dfa-9c5e-6772c543888a,0,0
30c1cae5-08ae-47a6-83d9-12ff313f19b9,0,0
29cd1b8e-ab3b-4c8f-a25d-7636cd7bce70,0,0
089b2a58-1f99-48f8-b0c9-142676e7b63e,0,0
00d8df5b-d7ec-4e11-905b-60267706039f,0,0
9a418c22-3ef4-414e-a6cd-15e229a2c7d2,0,0
8a80b775-50a9-47cc-a0ae-99e79ed705b6,30,0
9b3b41d1-c9cc-4dc4-a9d9-03dd08f8f823,30,0
41fc312d-d2ee-43ba-afeb-049143cb143d,0,0
9e239f29-f582-479b-8445-2250bc1e0621,0,1
9924295d-c4db-4fe3-9972-9fed79bbb32a,0,0
55ab2368-a086-4e7b-bacf-703b99a5a9b0,0,0
c31e2c70-afd3-4f32-9edc-ddbe791c4a40,30,0
4b9cf485-d5d6-49e7-8b98-6d2ffa202355,0,0
ea7f1e80-541a-4e4e-bf2f-a2d8f858e8d8,0,0
fd1c2710-8ad6-4f26-973e-76c56ad0cf95,0,0
2c97dbb1-5fc4-4b8b-8519-35d92f2a241c,0,0
60f07c58-e213-468b-ab23-d826ce52df4e,0,0
207c85fb-2361-4035-904c-092dbf3832dc,0,0
b97b82fd-6aed-4625-a137-8f00608f4208,0,0
820bfa2e-8370-468b-a031-2948ae5303ef,0,0
287e7d67-f22a-434b-bfb6-7a367b4e21dc,0,0
26ec2880-ff9a-4fc1-845f-3ede85973543,0,0
b2f52052-6a75-4c18-abc1-6453b4fcbd43,0,0
6f8cbca9-0218-4bf3-83a4-426814a12835,0,0
a1c9741e-d5e2-428b-bfd9-21efa93ff525,0,0
eeb13dba-9e4a-4411-ba07-156829ed92d0,0,0
804781a4-acb8-423e-a2c7-503ab5f6d958,0,0
4e1fc770-d216-4be5-89c8-edd313117ad0,0,0
ebb60598-6804-4f44-b831-0b75178eed5c,0,0
aee0044f-8ee2-4a24-82bf-aa71998f4aae,0,0
eb494a61-d904-431b-bcf5-fbce7b892087,0,0
e92dacf4-4bbf-4b3e-8d29-29deb7b2b6c8,30,0
f0b0d8f2-17df-4a8b-9086-7700dfc6207c,30,0
400c9ca9-2df1-47e4-9bd8-6db68381e537,60,0
b6b0f38b-4116-4f5a-a137-c1357f5ec413,0,0
7fd40968-3eb7-4c22-9823-c0aa2b1fe390,0,0
d1ad35fd-d73d-4554-9469-2736574d18a3,0,0
6750d5c1-4429-46c2-85e2-29b64112adad,0,0
43870807-5d51-4357-897f-8f96b1f3c930,0,1
55118e0b-3b47-4b6b-97e9-e02fbb5b2463,0,1
37a21415-5e02-404e-8efd-ea097e5cb0b9,0,0
adaa8bac-b61e-4aaf-a7f9-19f8d69eb01b,0,0
38283773-5549-4e92-880a-be66a4da231b,0,0
9e837cbf-1165-4817-b813-3ec716497225,0,1
