application_id,scorecard_version,decision,bureau_score,product,channel,segment
641101fb-35e5-47f5-a47c-e798286a079b,existing,declined,406,gold,online,retail
453d24b3-2bd1-4e8d-bf22-efc47c5824ff,existing,approved,672,gold,branch,retail
dc4f0591-0281-4db0-9a01-268975a9a8b1,pilot,declined,685,standard,online,retail
a04ea03f-b3ae-4772-8c3c-963416c0bc4d,pilot,approved,774,gold,online,retail
e90fd9ac-b349-43e4-8339-078014ea2157,existing,approved,543,gold,online,retail
da1d491d-6cd6-402c-9f23-6063d55b83e5,existing,approved,687,platinum,online,retail
1db1ef9b-556f-4c67-8232-4674fc34f6a6,existing,approved,391,standard,online,retail
cfb8282d-982b-42df-8962-fc5b0c9daf68,existing,declined,687,standard,online,retail
8b77d27f-0743-49f8-a71b-3aa2790d63e8,existing,declined,461,standard,branch,retail
2dcd78d8-2121-4d52-b0ee-caca53c5a37b,existing,approved,551,standard,online,retail
511baf44-9b0a-48fd-b0c7-d56e3e583488,existing,declined,516,standard,online,retail
58e50201-758d-49fd-9dc7-9335a31fda41,pilot,approved,820,gold,online,retail
ab33d69a-700b-42bc-8aa8-d7368e14b0bc,pilot,declined,718,gold,online,retail
634d500b-1be1-4fdd-8908-d78e43be8fa1,existing,declined,332,standard,online,retail
8e133217-feca-4c3a-ae1f-f232012a76d9,pilot,approved,846,standard,online,retail
6e05c8bf-9a67-43ee-b257-52800686119c,pilot,approved,697,standard,online,retail
d5bad9fd-4a55-4760-a011-7f4f91602e53,existing,approved,540,standard,online,student
d4b47945-d873-4081-b809-b1ed8dbc3d98,existing,approved,470,standard,branch,retail
a1462072-8b37-4a3b-bc7f-242f91221629,pilot,declined,327,standard,online,student
355747ce-1bbc-454d-bc9d-07e7e9a025d6,existing,approved,772,standard,online,retail
768a5841-e2ee-4829-a916-335bb2e489e9,existing,declined,558,standard,online,retail
373ae15b-9207-40ac-b71c-31d718397c27,existing,approved,673,standard,online,retail
08590327-6297-4bd7-8f5c-a3fd667990e3,existing,approved,567,standard,online,retail
36d87e6f-1cbd-4697-8d4f-e86022f16410,existing,approved,412,platinum,online,retail
7064065f-5997-403d-b678-8161c0fb3a60,existing,approved,429,gold,online,retail
2b918240-ff29-46e8-92f8-c7c91dab4c88,pilot,approved,483,standard,branch,retail
e6f7d698-6aee-4ed1-bee7-a735d97fd23d,pilot,approved,810,standard,branch,retail
2a6c042e-0a55-4c56-8efa-11fcb2b8bb73,existing,approved,702,gold,branch,retail
34779867-5c1b-4365-8168-1beb2a8e8576,existing,declined,637,gold,online,retail
