transaction_id,account_id,transaction_date,amount
1a941854-9165-41e8-9e9f-20fe2ae9a361,8daf0220-837b-4dc7-94f0-7850954e9427,2025-07-27,113.41
b217beb2-d308-4780-aefe-c529ebe01730,8daf0220-837b-4dc7-94f0-7850954e9427,2025-08-19,64.32
d58de0c8-edca-4b6b-ad56-0ab529b6935b,8daf0220-837b-4dc7-94f0-7850954e9427,2025-08-19,152.35
7638593b-a894-425a-ba65-7930389737bf,8daf0220-837b-4dc7-94f0-7850954e9427,2025-07-30,85.24
b74d8aed-4833-4b87-84dc-b5ad88a50981,c3725321-1f38-44d4-af3a-a9c3d43125df,2025-07-26,76.61
4029abef-86f5-4c30-9bda-799a54d4fe3f,c3725321-1f38-44d4-af3a-a9c3d43125df,2025-08-07,117.33
b71edebf-afdc-4f16-9454-826a66d43485,c3725321-1f38-44d4-af3a-a9c3d43125df,2025-08-17,22.21
46f5ef3e-953f-463c-879b-01eb832abcb7,36dcb67c-db7c-42c9-ac5b-657e899b7052,2025-08-16,86.38
41cd9c55-60f7-4302-9b01-5c052fa24a86,36dcb67c-db7c-42c9-ac5b-657e899b7052,2025-08-08,70.43
912fd3c3-9dbe-451a-8d4e-106652fbc935,36dcb67c-db7c-42c9-ac5b-657e899b7052,2025-08-06,2.39
c78a176e-6cfa-494b-9581-8403e98953e6,9d762064-3047-4792-9b14-45b712a64470,2025-08-03,22.17
6e9ef5d4-33e7-4d00-b423-202847cc1bb6,9d762064-3047-4792-9b14-45b712a64470,2025-08-05,78.59
9eaf590f-15cb-4d75-99d8-cbe978dbb086,24ac0a32-f161-4421-9234-0fa927502338,2025-07-26,62.9
e5ca132f-a4c5-4ec3-8187-d8882cdb148d,24ac0a32-f161-4421-9234-0fa927502338,2025-08-22,34.77
2f673b29-f57e-4f2f-a60c-2af306bc2aec,24ac0a32-f161-4421-9234-0fa927502338,2025-08-19,18.16
a10e3e2e-e555-4382-865b-9f3112d2136f,24ac0a32-f161-4421-9234-0fa927502338,2025-08-06,160.28
1715c0ca-28e6-46c0-be2c-59c75f6f9103,3cc851e6-9d32-4c8a-90e2-699ecc05292b,2025-08-11,119.1
8d83aadd-ca83-4c69-982f-f3ffac5ffb59,aee29643-e195-44c7-99f0-2210513fcdd7,2025-08-09,121.5
10a81543-e1e7-4e10-b9dd-f1068567c42d,aee29643-e195-44c7-99f0-2210513fcdd7,2025-08-09,179.2
b6d122d8-3efe-4f06-8cdb-f46410234e82,aee29643-e195-44c7-99f0-2210513fcdd7,2025-08-14,215.39
2eaec437-b2bd-4af0-9ea1-81955c835a1e,aee29643-e195-44c7-99f0-2210513fcdd7,2025-08-12,38.13
13fb2cd7-144d-4c41-9f48-f10e5dfdec6b,95dfcd35-c386-40e4-8552-0a5bc851f77d,2025-08-15,131.46
8d75463f-e727-4dd1-8954-69836cc002cd,a7b29ab7-ff0b-4b14-aae8-fb854c1cb604,2025-07-30,109.55
ce6c2cae-55d9-4fe8-aa24-bf794c1c69b2,a7b29ab7-ff0b-4b14-aae8-fb854c1cb604,2025-08-06,55.27
c4ae3243-ec51-418f-a722-342fd9de6a84,a7b29ab7-ff0b-4b14-aae8-fb854c1cb604,2025-08-04,75.95
a8b7cd6b-358e-41fb-9b26-f35bff486aa3,8deeff9c-98c2-4fc7-8731-800862517f79,2025-08-05,22.76
5e940d0c-1bb3-496b-89dc-c5b4862bb829,8deeff9c-98c2-4fc7-8731-800862517f79,2025-08-24,106.97
6de2003d-4d11-41a1-880f-8a105c6be749,8deeff9c-98c2-4fc7-8731-800862517f79,2025-08-19,122.63
8e50e214-6d70-4da1-ad5f-e2661b69870d,3998061b-a48d-41ab-92d4-5ffc90f28a45,2025-08-25,107.4
ee1a6c82-2f78-43cd-a6ef-2734ef71dc48,3998061b-a48d-41ab-92d4-5ffc90f28a45,2025-08-17,16.29
4d79eb0c-afe1-4b65-80b7-1aef395a4d4f,3998061b-a48d-41ab-92d4-5ffc90f28a45,2025-08-06,46.72
5c8befa3-c054-4289-93f4-46f4a15de169,6f57367b-09ab-476c-9000-03f839c2ac31,2025-08-07,104.59
34c6f8e8-0269-4070-9d83-60def64ae174,6f57367b-09ab-476c-9000-03f839c2ac31,2025-08-14,53.08
8d682e8f-e291-4ac8-a17f-f7f49384306d,33c2be9e-3c53-463b-b058-6537b4ac10da,2025-08-02,132.21
4fb13d61-d2e4-408c-8a5b-1a112c69dd1e,33c2be9e-3c53-463b-b058-6537b4ac10da,2025-08-12,130.0
6034d76e-2e4a-41b6-9b97-4d477f4d8c7f,33c2be9e-3c53-463b-b058-6537b4ac10da,2025-08-23,59.5
6e9c8840-3149-4b6a-b976-1d98c9da8b09,0e61e977-8c5b-4e2e-8b40-3a543d3b10f0,2025-07-31,90.47
09518bd1-35ee-4af1-a246-8e66c49c712a,0e61e977-8c5b-4e2e-8b40-3a543d3b10f0,2025-07-27,110.87
